-0.224,0.126,0.0159
-0.202,0.08,0.0159
-0.181,0.035,0.0159
-0.231,0.263,0.0159
-0.212,0.2191,0.0159
-0.192,0.176,0.0159
-0.171,0.132,0.0159
-0.151,0.089,0.0159
-0.131,0.045,0.0159
-0.111,0.002,0.0159
-0.217,0.349,0.0159
-0.1961,0.304,0.0159
-0.175,0.259,0.0159
-0.154,0.213,0.0159
-0.133,0.168,0.0159
-0.112,0.122,0.0159
-0.091,0.0773,0.0159
-0.07,0.032,0.0159
-0.049,-0.014,0.0159
-0.222,0.479,0.0159
-0.202,0.436,0.0159
-0.181,0.392,0.0159
-0.161,0.349,0.0159
-0.141,0.305,0.0159
-0.121,0.261,0.0159
-0.101,0.218,0.0159
-0.081,0.174,0.0159
-0.06,0.131,0.0159
-0.04,0.087,0.0159
-0.02,0.044,0.0159
0,0,0.0159
-0.168,0.482,0.0159
-0.147,0.437,0.0159
-0.126,0.391,0.0159
-0.105,0.346,0.0159
-0.084,0.301,0.0159
-0.063,0.255,0.0159
-0.042,0.21,0.0159
-0.021,0.164,0.0159
0,0.119,0.0159
0.021,0.074,0.0159
0.042,0.028,0.0159
0.063,-0.017,0.0159
-0.111,0.478,0.0159
-0.091,0.434,0.0159
-0.071,0.391,0.0159
-0.05,0.347,0.0159
-0.03,0.303,0.0159
-0.0104,0.26,0.0159
0.0098,0.216,0.0159
0.03,0.173,0.0159
0.05,0.129,0.0159
0.071,0.086,0.0159
0.091,0.042,0.0159
0.111,-0.001,0.0159
-0.056,0.479,0.0159
-0.035,0.433,0.0159
-0.014,0.388,0.0159
0.0074,0.343,0.0159
0.028,0.297,0.0159
0.049,0.252,0.0159
0.07,0.206,0.0159
0.091,0.161,0.0159
0.112,0.116,0.0159
0.133,0.07,0.0159
0.154,0.025,0.0159
0,0.476,0.0159
0.02,0.433,0.0159
0.04,0.389,0.0159
0.06,0.345,0.0159
0.081,0.302,0.0159
0.101,0.258,0.0159
0.121,0.215,0.0159
0.141,0.171,0.0159
0.161,0.128,0.0159
0.181,0.084,0.0159
0.202,0.041,0.0159
0.055,0.475,0.0159
0.076,0.43,0.0159
0.097,0.3852,0.0159
0.118,0.339,0.0159
0.139,0.294,0.0159
0.16,0.249,0.0159
0.181,0.203,0.0159
0.202,0.158,0.0159
0.111,0.475,0.0159
0.131,0.4311,0.0159
0.151,0.387,0.0159
0.171,0.344,0.0159
0.192,0.3,0.0159
0.212,0.257,0.0159
0.167,0.472,0.0159
0.188,0.427,0.0159
0.209,0.381,0.0159
0.222,0.473,0.0159
